Divison,Police Station,Date of Occurrence of the Mugging Incident  (YY/MM/DD),Time of Occurrence,Month,Day,Time,Place of Occurrence of the mugging incident,The way in which mugging was done and property looted,Type of Place,Latitude,Longitute,Date of Report,Victim's Gender,Victim's AGE ,"Type of the 
Vehicle used by the assailants
( 2/3/4 wheeler/Walk)",Vehicle model as identified by the Victim,Vehicle Colour as reported by the victim,Vehicle Number as reported by the victim,Whether CC TV Footage is available ? (Yes/No),Whether the accused was wearing a Helmet or not (Yes/No),Whether the FIR has been Detected/ Undetected ?,,,
EAST,Ramamurthy Nagar PS,09.06.2014,13:20:00,June,Monday,12:00-15:00,"7th cross, Sir M V Nagar, Ramamurthy Nagar, , Bangalore city, Karnataka, 560016",Snatching by walk & escaping with bike,On side road,13.01561604,77.678186,06.09.2014,Female,65,2 Wheeler,Bajaj Pulsar,No,No,No,yes,Detected,,,
EAST,Jeevan Bheemanagar PS,01.06.2014,17:45:00,June,Sunday,15:00-18:00,"Near Top In Town, 16th D Main junction, HAL 2nd Stage, Bangalore city",Snatching while on the move (Accused on bike) from back,On a main road,12.96431496,77.64460989,06.01.2014,Female,68,2 Wheeler,No,No,No,No,Yes,Undetected,,,
EAST,Kadugondana Halli PS,14.06.2014,8:00:00,June,Saturday,06:00-09:00,"OPP NO-596, 6TH CROSS, 8TH MAIN, 3RD BLOCK,, HBR LAYOUT 1ST
STAGE, Bangalore city,",Snatching while on the move (Accused on bike) from back,On a main road,13.0282613,77.62674105,14.06.2014,Female,62,2 Wheeler,Bajaj Pulsar,Black,No,No,No,Detected,,,
EAST,Hennur PS,17.06.2014,14:30:00,June,Tuesday,12:00-15:00,"Infront of No. 14, 4th 'A' Cross, Ashirvada Colony, Horamavu Main Road, Bangalore city, Karnataka",Snatching by walk & escaping with bike,On a main road,13.02490314,77.65839783,17.06.2014,Female,47,2 Wheeler,No,No,No,No,No,Detected,,,
EAST,Mahadevapura PS,10.05.2014,23:15:00,May,Saturday,21:00-00:00,"Near KR Puram railway statiion, Under Hanging bridge,  OM road, Bangalore.",Snatching while on the move (Accused on bike) from back,On a main road,13.0000917,77.67732298,18.06.2014,Female,60,2 Wheeler,No,No,No,No,Yes,Undetected,,,
EAST,Mahadevapura PS,28.06.2014,19:20:00,June,Saturday,18:00-21:00,"1st main, 14 th Cross, Gangappa layout, Pai layout, Bangalore",Snatching while on the move (Accused on bike) from back,On side road,12.9923154,77.6689137,28.06.2014,Female,27,2 Wheeler,Bajaj Pulsar,Black,KA-03-ER-5075,No,Yes,Detected,,,
EAST,Banaswadi PS,06.07.2014,7:15:00,July,Sunday,06:00-09:00,"INFRONT OF HOUSE NO-225, 3RD E CROSS,, 3RD BLOCK, HRBR LAYOUT,,
Bangalore city, Karnataka",Snatching while on the move (Accused on bike) from back,In-front of Victims house,13.01580594,77.63797832,07.06.2014,Female,70,2 Wheeler,No,Black ,No,No,Yes ,Detected,,,
EAST,Ramamurthy Nagar PS,08.07.2014,6:45:00,July,Tuesday,06:00-09:00,"Near Maruthi storers, Chikkabanasawadi,, OMBR Layout,, Bangalore city,
Karnataka",Snatching while on the move (Accused on bike) from back,On side road,13.00549701,77.65203221,07.08.2014,Female,60,2 Wheeler,YAMAHA,Black,No,No,yes,Undetected,,,
EAST,K.R. Puram PS,12.07.2014,14:30:00,July,Saturday,12:00-15:00,"2nd cross, r.m.s colony, Bhattarahalli, Bangalore city, Karnataka, 560049",Snatching while on the move (Accused on bike) from back,On side road,13.0227888,77.70735644,07.12.2014,Female,36,2 Wheeler,Bajaj Pulsar,black,ka-51-eb-2278,no,no,Detected,,,
EAST,Mahadevapura PS,14.07.2014,13:45:00,July,Monday,12:00-15:00,"2nd cross road, Shiva ganga layout, Mahadevapura, Bangalore.",Snatching by walk & escaping with bike,On side road,12.98947779,77.68977048,14.07.2014,Female,30,2 Wheeler,No,No,No,No,Yes,Undetected,,,
EAST,Ramamurthy Nagar PS,14.07.2014,14:30:00,July,Monday,12:00-15:00,"Near Aristocrat Apt, 16/1, 1st main road, Kasturinagar, Bangalore city, Karnataka,
560043",Snatching while on the move (Accused on bike) from front,On side road,13.00045617,77.66097123,14.07.2014,Female,45,2 Wheeler,No,no,No,no,No,Undetected,,,
EAST,K.R. Puram PS,15.07.2014,17:15:00,July,Tuesday,15:00-18:00,"Near See College, k.r.pura, Bangalore city, Karnataka",Snatching while on the move (Accused on bike) from back,"Near School, College Etc (Where victim had gone to drop off / pick up child)",13.00745649,77.71504289,15.07.2014,Female,35,2 Wheeler,YAMAHA,black,ka-03-x-6634,no,no,Detected,,,
EAST,K.R. Puram PS,15.07.2014,17:15:00,July,Tuesday,15:00-18:00,"Near See College, k.r.pura, Bangalore city, Karnataka",Snatching while on the move (Accused on bike) from back,"Near School, College Etc (Where victim had gone to drop off / pick up child)",13.0195264,77.70783568,15.07.2014,Female,45,2 Wheeler,YAMAHA,black,ka-03-x-6634,no,no,Detected,,,
EAST,Banaswadi PS,17.07.2014,15:00:00,July,Thursday,15:00-18:00,"2nd main, E cross road, 2nd block, HRBR Layout, Bangalorecity.",Attention diversion by indulging in small talk,On side road,13.02024385,77.6445026,17.07.2014,Female,60,4 Wheeler,Maruti 800 car,White ,No,No,No,Detected,,,
EAST,Hennur PS,21.07.2014,19:05:00,July,Monday,18:00-21:00,"Near Logos Church Road, Prakruti Township,, Babusapaplya, Bangalore city,
Karnataka",Snatching while on the move (Accused on bike) from back,"Near Temples, Masque, Church Etc",13.02967711,77.65109987,21.07.2014,Female,52,2 Wheeler,No,No,No,No,Yes,Undetected,,,
EAST,Ramamurthy Nagar PS,24.07.2014,6:45:00,July,Thursday,06:00-09:00,"Infront of H.No.32, 5th Cross, Bible church road,, Vijay bank colony, Banasawadi.,
Bangalore city, Karnataka",Attention diversion by indulging in small talk,In-front of Victims house,13.01555832,77.65988008,24.07.2014,Female,64,2 Wheeler,no,no,No,no,yes,Undetected,,,
EAST,Pulakeshinagar  PS,30.07.2014,10:40:00,July,Wednesday,09:00-12:00,"Near SBI Bank Banaswadi Road, Richards town Bangalore.",Snatching while on the move (Accused on bike) from back,On a main road,13.00181367,77.61761686,30.07.2014,Female,35,2 Wheeler,No,No,No,No,No,Undetected,,,
EAST,Banaswadi PS,25.08.2014,9:45:00,August,Friday,09:00-12:00,"NEAR SMART SUPER MARKET, DODDA BANASWADI, Bangalore city,Karnataka",Snatching with assault,Other Places,13.014642,77.65252464,25.08.2014,Female,56,2 Wheeler,No,No,No,No,No,Detected,,,
EAST,Byappanahalli PS,04.08.2014,8:15:00,August,Monday,06:00-09:00,"1 St main Road, Sadananda Nagara, Bangalore",Snatching while on the move (Accused on bike) from back,On a main road,12.99399,77.656767,08.04.2014,Female,57,2 Wheeler,Bajaj Pulsar,No,No,NO,No,Undetected,,,
EAST,Byappanahalli PS,20.08.2014,14:45:00,August,Wednesday,12:00-15:00,"No 11 3rd Cross Ramaswamy Layout, New Byappanahalli, Bangalore city,
Karnataka",By other techniques ,Other Places,12.98702,77.645349,20.08.2014,Female,48,2 Wheeler,No,No,No,No,No,Undetected,,,
EAST,Indiranagar PS,20.08.2014,4:30:00,August,Wednesday,03:00-06:00,"Infront of House No.474, 11th Main,, HAL 2nd Stage, Indirangar,, Bangalore city,
Karnataka",Accused came in 3 or 4 wheeler,In-front of Victims house,12.97079744,77.64299944,20.08.2014,Female,46,3 wheeler,Auto Rikshaw,BLACK & YELLOW,"KA-03,
5600",NO,No,Detected,,,
EAST,K.R. Puram PS,05.08.2014, 07:30:00,August,Tuesday,06:00-09:00,"Near Ayurvedic Centre, Old Extention Road, K R Pura, Bangalore city.",Snatching while on the move (Accused on bike) from back,On side road,13.00926701,77.69464414,08.05.2014,Female,50,2 Wheeler,YAMAHA,black,ka-03-x-6634,no,no,Detected,,,
EAST,K.R. Puram PS,19.08.2014, 11:10:00,August,Tuesday,09:00-12:00,"No.88, 3rd main, Old Manjunatha Layout, Near Christ the King school, RM Nagar,Bangalore",Attention diversion by indulging in small talk,Other Places,13.01912912,77.68492,19.08.2014,Female,45,By Walk,No,No,No,No,No,Undetected,,,
EAST,Ramamurthy Nagar PS,27.08.2014,21:00:00,August,Wednesday,18:00-21:00,"In front of H.No.2/81/1, RK Nilaya, 1st Cross,, Jayanthi nagar, Horamavu post,
Bangalore city",Attention diversion by indulging in small talk,In-front of Victims house,13.02826709,77.66663042,27.08.2014,Female,40,2 Wheeler,no,no,No,no,No,Undetected,,,
EAST,Pulakeshinagar  PS,10.09.2014,6:45:00,September,Wednesday,06:00-09:00,"2nd Cross, Hirachand Layout, Cox town Jeevanahalli, Bangalore.",Snatching by walk & escaping with bike,"Near a Park, Walking route",12.99572495,77.62720033,09.10.2014,Female,70,2 Wheeler,Suzuki Access,Black ,KA-015-HJ 6951,No,No,Detected,,,
